query_id,top1_id,sim1,top2_id,sim2,top3_id,sim3,found_in_top3
id_4165,id_4165,0.5792,id_1795,0.4259,id_1853,0.3969,True
id_4165,id_4162,0.3569,id_1597,0.3305,id_1506,0.3227,False
id_4165,id_4165,0.6153,id_5290,0.4384,id_4998,0.4349,True
id_4165,id_4165,0.3931,id_5869,0.3759,id_1365,0.3703,True
id_4165,id_4165,0.5728,id_3512,0.3755,id_4715,0.3669,True
id_4165,id_4165,0.5079,id_2809,0.3530,id_6380,0.3381,True
id_4165,id_4165,0.6715,id_4433,0.3786,id_3923,0.3591,True
id_4165,id_4165,0.5029,id_6033,0.4051,id_2415,0.3978,True
id_4165,id_4165,0.4996,id_1795,0.3970,id_1402,0.3941,True
id_4165,id_4165,0.5923,id_5209,0.4026,id_6278,0.3449,True
id_4165,id_1360,0.4920,id_8866,0.4711,id_4165,0.4580,True
id_4165,id_4165,0.4519,id_10393,0.3973,id_1360,0.3551,True
id_4165,id_4165,0.7230,id_4998,0.4598,id_6013,0.3846,True
id_4165,id_4165,0.4145,id_1795,0.3562,id_6527,0.3522,True
id_2950,id_97,0.4692,id_907,0.4452,id_4998,0.4446,False
id_2950,id_2950,0.6316,id_9016,0.3323,id_6013,0.3164,True
id_2950,id_2950,0.7404,id_6013,0.3798,id_3646,0.3645,True
id_2950,id_2950,0.5247,id_4175,0.3726,id_8787,0.3703,True
id_2950,id_6948,0.4022,id_2646,0.3725,id_2950,0.3601,True
id_2950,id_2950,0.6678,id_2670,0.3715,id_6948,0.3567,True
id_2950,id_5711,0.4700,id_7273,0.4350,id_10048,0.3861,False
id_2950,id_2950,0.6450,id_8787,0.3365,id_4835,0.3102,True
id_2950,id_2950,0.5677,id_10021,0.3956,id_2670,0.3921,True
id_2950,id_2950,0.3697,id_5593,0.3585,id_8787,0.3578,True
id_2950,id_2950,0.4951,id_2913,0.3840,id_8206,0.3613,True
id_4247,id_4247,0.5412,id_9447,0.3210,id_8474,0.3094,True
id_4247,id_4247,0.6198,id_10007,0.4391,id_649,0.3743,True
id_4247,id_4247,0.6724,id_4433,0.4003,id_4063,0.3219,True
id_4247,id_4247,0.6428,id_8199,0.3957,id_4063,0.3837,True
id_4247,id_4968,0.3735,id_5486,0.3612,id_8787,0.3378,False
id_4247,id_4247,0.4641,id_2141,0.4020,id_1262,0.3816,True
