query_id,top1_id,sim1,top2_id,sim2,top3_id,sim3,found_in_top3?
id_10007,id_3218,0.9982,id_9018,0.9982,id_856,0.9982,False
id_10007,id_3926,0.9996,id_792,0.9996,id_891,0.9995,False
id_10007,id_10023,0.9994,id_5134,0.9993,id_2409,0.9993,False
id_10007,id_4907,0.9997,id_2354,0.9997,id_8885,0.9997,False
id_10007,id_9218,0.9998,id_8482,0.9998,id_4619,0.9998,False
id_10007,id_3218,0.9964,id_8423,0.9962,id_9018,0.9962,False
id_10007,id_4619,0.9998,id_2628,0.9997,id_9218,0.9997,False
id_10007,id_10023,0.9989,id_8482,0.9989,id_2409,0.9988,False
id_10007,id_3926,0.9994,id_1939,0.9994,id_470,0.9993,False
id_10007,id_2141,0.9996,id_5011,0.9996,id_4956,0.9996,False
id_10007,id_2489,0.9998,id_5011,0.9998,id_6350,0.9998,False
id_10007,id_5134,0.9998,id_7385,0.9998,id_5173,0.9998,False
id_10007,id_2288,0.9999,id_6523,0.9999,id_4583,0.9999,False
id_10007,id_4619,0.9998,id_6001,0.9998,id_9218,0.9998,False
id_10007,id_5596,0.9995,id_5173,0.9995,id_10419,0.9995,False
id_10007,id_720,0.9999,id_8622,0.9999,id_4233,0.9999,False
id_1001,id_6882,0.9999,id_4922,0.9998,id_10498,0.9998,False
id_1001,id_2141,0.9999,id_9629,0.9999,id_834,0.9999,False
id_1001,id_10419,0.9999,id_5425,0.9999,id_2288,0.9999,False
id_1001,id_8037,0.9999,id_4922,0.9999,id_6882,0.9998,False
id_1001,id_10313,0.9999,id_3492,0.9999,id_9864,0.9999,False
id_1001,id_3320,0.9998,id_3311,0.9998,id_3140,0.9998,False
id_1001,id_9864,0.9999,id_10313,0.9999,id_3492,0.9999,False
id_1001,id_10313,0.9999,id_5552,0.9998,id_2424,0.9998,False
id_1001,id_2410,0.9999,id_5425,0.9999,id_5173,0.9999,False
id_1001,id_10023,0.9989,id_4135,0.9989,id_864,0.9988,False
id_1001,id_9753,0.9996,id_6028,0.9996,id_4875,0.9996,False
id_1001,id_10514,0.9998,id_3129,0.9998,id_5223,0.9998,False
id_1001,id_2354,0.9998,id_10514,0.9998,id_8755,0.9998,False
id_1001,id_793,0.9998,id_4047,0.9998,id_7763,0.9998,False
id_1001,id_10509,0.9999,id_10428,0.9999,id_9869,0.9999,False
id_1001,id_2410,0.9999,id_7193,0.9999,id_8297,0.9999,False
id_10021,id_1690,0.9998,id_1952,0.9998,id_5323,0.9998,False
id_10021,id_714,0.9997,id_8486,0.9997,id_4247,0.9997,False
id_10021,id_7064,0.9998,id_2589,0.9998,id_7567,0.9998,False
id_10021,id_3861,0.9999,id_3593,0.9999,id_4059,0.9999,False
id_10021,id_8297,0.9998,id_8825,0.9998,id_4583,0.9998,False
id_10021,id_4875,0.9992,id_9188,0.9991,id_6376,0.9991,False
id_10021,id_9753,0.9997,id_2775,0.9997,id_8610,0.9997,False
id_10021,id_3926,0.9995,id_470,0.9995,id_2361,0.9995,False
id_10021,id_8885,0.9997,id_4517,0.9996,id_3327,0.9996,False
id_10023,id_2288,0.9999,id_5425,0.9999,id_10419,0.9999,False
id_10023,id_9864,0.9999,id_10313,0.9999,id_5425,0.9999,False
id_10023,id_7064,0.9998,id_6882,0.9998,id_8037,0.9998,False
id_10023,id_5425,0.9999,id_2410,0.9999,id_10419,0.9999,False
id_10023,id_9864,0.9999,id_5425,0.9999,id_2410,0.9999,False
id_10023,id_9286,0.9984,id_10419,0.9983,id_10125,0.9983,False
id_10023,id_6028,0.9997,id_10515,0.9997,id_1897,0.9997,False
id_10023,id_8297,0.9999,id_2410,0.9999,id_5425,0.9999,False
id_10023,id_7478,0.9996,id_2645,0.9996,id_5793,0.9996,False
id_10023,id_7528,0.9999,id_6620,0.9999,id_6637,0.9999,False
id_10023,id_5018,0.9999,id_7166,0.9999,id_1155,0.9999,False
id_10023,id_5210,0.9999,id_7953,0.9999,id_3593,0.9999,False
id_10023,id_5425,0.9999,id_9864,0.9999,id_2410,0.9999,False
id_10023,id_8825,0.9999,id_8297,0.9999,id_715,0.9999,False
id_10023,id_5066,0.9997,id_6001,0.9997,id_7385,0.9997,False
id_10023,id_7528,0.9999,id_1481,0.9998,id_4852,0.9998,False
id_1003,id_5134,0.9996,id_10050,0.9995,id_10023,0.9995,False
id_1003,id_3218,0.9982,id_9018,0.9982,id_8423,0.9982,False
id_1003,id_8297,0.9999,id_6938,0.9999,id_7193,0.9999,False
id_1003,id_4619,0.9999,id_6938,0.9999,id_8297,0.9999,False
id_1003,id_7474,0.9998,id_10422,0.9998,id_3544,0.9998,False
id_1003,id_2307,0.9963,id_9018,0.9963,id_8423,0.9963,False
id_1003,id_4907,0.9998,id_10345,0.9998,id_10540,0.9997,False
id_1003,id_8975,0.9999,id_7193,0.9999,id_5080,0.9999,False
id_1003,id_3544,0.9999,id_8825,0.9999,id_5080,0.9999,False
id_1003,id_4840,0.9999,id_1003,0.9998,id_793,0.9998,True
id_10048,id_3736,0.9977,id_8482,0.9977,id_8423,0.9976,False
id_10048,id_2357,0.9999,id_3251,0.9999,id_2987,0.9999,False
id_10048,id_5134,0.9996,id_8482,0.9996,id_10023,0.9995,False
id_10048,id_10313,0.9999,id_9864,0.9999,id_5051,0.9999,False
id_10048,id_6899,0.9999,id_5323,0.9998,id_2500,0.9998,False
id_10048,id_5134,0.9991,id_10023,0.9991,id_9286,0.9991,False
id_10048,id_2410,0.9999,id_5051,0.9999,id_7456,0.9999,False
id_10048,id_4956,0.9998,id_753,0.9997,id_1939,0.9997,False
id_10050,id_10419,0.9999,id_5425,0.9999,id_2288,0.9999,False
id_10050,id_9864,0.9999,id_5425,0.9999,id_6566,0.9999,False
id_10050,id_9864,0.9999,id_2410,0.9999,id_10419,0.9999,False
id_10050,id_4619,0.9998,id_6938,0.9998,id_601,0.9998,False
id_10050,id_2410,0.9999,id_10419,0.9999,id_5425,0.9999,False
id_10050,id_414,0.9997,id_10203,0.9997,id_2645,0.9997,False
id_10050,id_10313,0.9999,id_5013,0.9999,id_8152,0.9999,False
id_10050,id_7806,0.9999,id_7953,0.9999,id_3750,0.9999,False
id_10050,id_10419,0.9999,id_2410,0.9999,id_5425,0.9999,False
id_10079,id_652,0.9998,id_6998,0.9997,id_10383,0.9997,False
id_10079,id_10419,0.9999,id_5425,0.9999,id_2288,0.9999,False
id_10079,id_6744,0.9999,id_10428,0.9999,id_10570,0.9998,False
id_10079,id_1952,0.9998,id_9619,0.9998,id_6123,0.9998,False
id_10079,id_10419,1.0000,id_5425,0.9999,id_2288,0.9999,False
