epoch,train_loss,val_loss,rank1_acc,rank3_acc
1,15.6353,12.7370,9.00,10.00
2,11.3029,10.4879,9.60,10.20
3,9.6865,9.7419,9.40,10.00
4,9.1753,9.5800,9.60,10.20
5,9.0166,9.5954,9.40,10.00
6,8.9086,9.5693,9.60,10.40
7,8.7816,9.6233,9.00,9.80
8,8.6519,9.5656,9.40,10.80
9,8.4991,9.6005,9.40,10.40
10,8.3528,9.5726,9.00,9.80
11,8.2328,9.6182,9.80,10.40
12,6.9342,8.9793,9.20,10.20
13,6.6208,8.8890,9.00,9.60
14,6.4999,8.8521,8.80,10.40
15,6.4265,8.8572,9.20,10.00
16,6.3789,8.8501,9.40,9.60
17,6.3426,8.8423,9.60,10.60
18,6.3130,8.8653,9.20,9.80
19,6.2878,8.8603,9.80,10.20
20,6.2675,8.8755,9.20,10.40
21,6.0471,8.8491,9.80,10.00
22,6.0296,8.8512,9.40,10.40
