query_id,top1_id,sim1,top2_id,sim2,top3_id,sim3,found_in_top3?
id_10007,id_10007,0.9951,id_4998,0.9942,id_1535,0.9941,True
id_10007,id_2128,0.9919,id_596,0.9918,id_1026,0.9918,False
id_10007,id_2246,0.9933,id_4998,0.9929,id_1853,0.9926,False
id_10007,id_10007,0.9928,id_5520,0.9924,id_4825,0.9921,True
id_10007,id_3551,0.9902,id_5756,0.9897,id_2134,0.9894,False
id_10007,id_526,0.9929,id_10007,0.9929,id_5520,0.9924,True
id_10007,id_4524,0.9909,id_10541,0.9905,id_1535,0.9904,False
id_10007,id_1535,0.9923,id_6380,0.9921,id_9988,0.9920,False
id_10007,id_4583,0.9889,id_4247,0.9889,id_3016,0.9888,False
id_10007,id_5305,0.9923,id_9988,0.9922,id_10125,0.9915,False
id_10007,id_1571,0.9925,id_2141,0.9921,id_4233,0.9920,False
id_10007,id_10007,0.9942,id_255,0.9940,id_4247,0.9938,True
id_10007,id_10007,0.9922,id_5869,0.9906,id_90,0.9905,True
id_10007,id_10007,0.9937,id_27,0.9935,id_2987,0.9933,True
id_10007,id_420,0.9929,id_1535,0.9923,id_2623,0.9923,False
id_10007,id_10007,0.9925,id_475,0.9920,id_1412,0.9916,True
id_1001,id_264,0.9942,id_1001,0.9941,id_2358,0.9936,True
id_1001,id_1537,0.9933,id_1750,0.9929,id_4710,0.9923,False
id_1001,id_1292,0.9946,id_8469,0.9945,id_2590,0.9943,False
id_1001,id_1001,0.9936,id_4874,0.9936,id_1292,0.9934,True
id_1001,id_1001,0.9933,id_2500,0.9929,id_1292,0.9928,True
id_1001,id_864,0.9950,id_1001,0.9944,id_5549,0.9941,True
id_1001,id_1001,0.9941,id_809,0.9930,id_3165,0.9929,True
id_1001,id_1001,0.9948,id_1750,0.9948,id_1321,0.9947,True
id_1001,id_1001,0.9946,id_1292,0.9944,id_2358,0.9944,True
id_1001,id_601,0.9925,id_1724,0.9925,id_873,0.9923,False
id_1001,id_4075,0.9930,id_4874,0.9927,id_1001,0.9926,True
id_1001,id_1001,0.9933,id_8469,0.9918,id_3165,0.9916,True
id_1001,id_1001,0.9937,id_6284,0.9928,id_809,0.9924,True
id_1001,id_1001,0.9928,id_3926,0.9922,id_3722,0.9921,True
id_1001,id_1001,0.9947,id_2500,0.9939,id_5965,0.9935,True
id_1001,id_1001,0.9946,id_287,0.9934,id_2358,0.9930,True
id_10021,id_10021,0.9922,id_7427,0.9921,id_255,0.9921,True
