query_id,top1_id,sim1,top2_id,sim2,top3_id,sim3,found_in_top3
id_4165,id_4165,0.5358,id_2809,0.4043,id_5896,0.4001,True
id_4165,id_5951,0.4061,id_6159,0.3882,id_9694,0.3874,False
id_4165,id_4165,0.4301,id_5756,0.3690,id_9114,0.3476,True
id_4165,id_4165,0.4336,id_1003,0.4243,id_891,0.4169,True
id_4165,id_4165,0.5303,id_6278,0.4083,id_1853,0.4051,True
id_4165,id_4165,0.5400,id_4175,0.4538,id_5895,0.4509,True
id_4165,id_4165,0.5518,id_2987,0.4161,id_1795,0.4111,True
id_4165,id_3792,0.4307,id_2383,0.4122,id_4165,0.4098,True
id_4165,id_4165,0.5034,id_1795,0.4526,id_7315,0.4254,True
id_4165,id_4165,0.4992,id_714,0.4350,id_4938,0.4205,True
id_4165,id_4165,0.3712,id_6013,0.3667,id_1360,0.3634,True
id_4165,id_4165,0.3557,id_10393,0.3507,id_2950,0.3471,True
id_4165,id_4165,0.6358,id_5290,0.4830,id_5209,0.4580,True
id_4165,id_1795,0.4735,id_4165,0.4481,id_1571,0.4356,True
id_2950,id_1402,0.3784,id_1535,0.3428,id_5869,0.3425,False
id_2950,id_2950,0.5729,id_9016,0.4059,id_5711,0.4057,True
id_2950,id_2950,0.5515,id_3758,0.3965,id_4450,0.3840,True
id_2950,id_2950,0.5539,id_7427,0.4632,id_2291,0.4621,True
id_2950,id_2950,0.3935,id_6948,0.3790,id_2913,0.3771,True
id_2950,id_2950,0.4255,id_3251,0.3505,id_9988,0.3504,True
id_2950,id_1535,0.3391,id_2950,0.3374,id_4869,0.3292,True
id_2950,id_2950,0.4871,id_8385,0.4259,id_7315,0.4222,True
id_2950,id_2950,0.4377,id_9353,0.3612,id_2307,0.3598,True
id_2950,id_1795,0.4044,id_714,0.3925,id_2646,0.3895,False
id_2950,id_2913,0.4349,id_3517,0.4318,id_8206,0.4237,False
id_4247,id_4247,0.3727,id_5951,0.3641,id_1795,0.3241,True
id_4247,id_4247,0.5221,id_10007,0.4623,id_649,0.4358,True
id_4247,id_4247,0.5357,id_3623,0.4131,id_10507,0.4104,True
id_4247,id_4247,0.5562,id_4450,0.4531,id_5951,0.4308,True
id_4247,id_1612,0.3489,id_5128,0.3366,id_5896,0.3359,False
id_4247,id_952,0.3925,id_27,0.3701,id_3963,0.3678,False
id_4247,id_4247,0.6658,id_649,0.4456,id_3735,0.4395,True
id_4247,id_4247,0.4849,id_1535,0.4126,id_2913,0.4021,True
id_4247,id_4247,0.4926,id_2560,0.4057,id_5951,0.4030,True
id_4247,id_4247,0.6228,id_5714,0.4460,id_3735,0.4377,True
id_4247,id_4247,0.3927,id_1795,0.3618,id_4324,0.3502,True
id_5209,id_5209,0.6503,id_1652,0.4714,id_714,0.4519,True
id_5209,id_475,0.3389,id_4938,0.3364,id_2701,0.3167,False
id_5209,id_5209,0.6385,id_714,0.4104,id_6013,0.3953,True
id_5209,id_5209,0.3908,id_475,0.3884,id_6013,0.3740,True
id_5209,id_5209,0.5274,id_3430,0.4353,id_714,0.4114,True
id_5209,id_5209,0.6467,id_3430,0.4926,id_714,0.4809,True
id_5209,id_5209,0.6015,id_4530,0.4513,id_3430,0.4496,True
id_1897,id_1897,0.6618,id_3492,0.4333,id_2663,0.4324,True
id_1897,id_1897,0.4721,id_2663,0.3983,id_8116,0.3741,True
id_1897,id_1897,0.5341,id_2833,0.4532,id_2663,0.4409,True
id_1897,id_1897,0.6363,id_4840,0.5523,id_564,0.4857,True
id_1897,id_1897,0.6037,id_2833,0.4846,id_2435,0.4651,True
id_1897,id_1897,0.5837,id_10131,0.4983,id_4840,0.4911,True
id_1897,id_1897,0.5069,id_2435,0.4231,id_2663,0.4119,True
id_1897,id_1897,0.6457,id_2663,0.4204,id_1824,0.4191,True
id_1897,id_1897,0.6520,id_2435,0.4748,id_10131,0.4520,True
id_1897,id_1897,0.6131,id_10131,0.4801,id_3492,0.4570,True
id_1897,id_4710,0.4856,id_1897,0.4611,id_3492,0.4458,True
id_1897,id_1897,0.6362,id_2833,0.4795,id_10131,0.4572,True
id_1897,id_1897,0.6255,id_1824,0.4660,id_3492,0.4541,True
id_1897,id_1897,0.6087,id_2663,0.4484,id_10131,0.4428,True
id_1897,id_1897,0.6584,id_4840,0.5229,id_3492,0.4940,True
id_1897,id_1897,0.6999,id_3492,0.5130,id_1824,0.4700,True
id_1897,id_1897,0.6996,id_10131,0.5125,id_2833,0.4645,True
id_10540,id_10540,0.6070,id_8610,0.4433,id_8755,0.4175,True
id_10540,id_10540,0.6018,id_9945,0.4183,id_10343,0.4169,True
id_10540,id_10540,0.6642,id_6088,0.4848,id_9945,0.4412,True
id_10540,id_10540,0.6310,id_10343,0.3942,id_69,0.3881,True
id_10540,id_10540,0.6858,id_10343,0.4581,id_8755,0.4271,True
id_10540,id_10540,0.5140,id_7350,0.4445,id_9171,0.4426,True
id_10540,id_10540,0.3948,id_10232,0.3655,id_8755,0.3612,True
id_10540,id_10540,0.7799,id_8755,0.5151,id_10343,0.4364,True
id_10540,id_10540,0.5403,id_10343,0.4797,id_8610,0.4392,True
id_4984,id_4984,0.6472,id_239,0.4287,id_738,0.4218,True
id_4984,id_4984,0.5479,id_1357,0.4096,id_809,0.3625,True
id_4984,id_4984,0.7133,id_2985,0.4482,id_541,0.4260,True
id_4984,id_4984,0.7664,id_3917,0.4540,id_1824,0.4462,True
id_4984,id_4984,0.6017,id_1897,0.4423,id_9018,0.4238,True
id_4984,id_4984,0.7087,id_1824,0.4406,id_9351,0.4303,True
id_4984,id_4984,0.5610,id_3492,0.4527,id_1897,0.4462,True
id_4984,id_4984,0.6563,id_8972,0.4330,id_233,0.4179,True
id_4984,id_4984,0.7590,id_3917,0.4477,id_1824,0.4453,True
id_4984,id_4984,0.7386,id_809,0.4381,id_3917,0.4379,True
id_4984,id_4984,0.6115,id_8116,0.3677,id_540,0.3598,True
id_4984,id_4984,0.6865,id_2101,0.3898,id_3492,0.3863,True
id_4984,id_4984,0.6164,id_9351,0.4184,id_7451,0.4137,True
id_4984,id_4984,0.7037,id_2985,0.4247,id_8972,0.4099,True
id_4984,id_4984,0.3283,id_287,0.3279,id_6284,0.3180,True
id_4984,id_4984,0.7088,id_809,0.4459,id_465,0.4294,True
id_4984,id_4984,0.5010,id_476,0.3961,id_738,0.3892,True
id_4984,id_4984,0.6213,id_3520,0.4722,id_1357,0.4610,True
id_4984,id_1897,0.4219,id_4984,0.4044,id_2663,0.3923,True
id_4984,id_4984,0.6715,id_2985,0.4289,id_1047,0.4282,True
id_4984,id_4984,0.7411,id_2985,0.4611,id_3492,0.4554,True
id_4984,id_4984,0.6944,id_9351,0.4508,id_7451,0.4382,True
id_4984,id_4984,0.6392,id_3917,0.4050,id_9351,0.3960,True
id_4984,id_4984,0.6439,id_1824,0.4116,id_9351,0.4091,True
id_4984,id_4984,0.6903,id_1824,0.4448,id_3492,0.4374,True
id_556,id_556,0.6510,id_476,0.5023,id_2480,0.4772,True
id_556,id_556,0.6380,id_476,0.4814,id_3722,0.4257,True
id_556,id_556,0.6171,id_476,0.4359,id_2480,0.4194,True
id_556,id_556,0.5882,id_476,0.4346,id_2480,0.4233,True
id_556,id_9096,0.4296,id_5273,0.4184,id_556,0.4147,True
id_556,id_4667,0.4611,id_556,0.4007,id_9517,0.3920,True
id_556,id_556,0.5363,id_476,0.4107,id_9051,0.3947,True
id_556,id_556,0.5962,id_476,0.4829,id_2480,0.4688,True
id_556,id_556,0.4914,id_476,0.4143,id_1001,0.4030,True
id_556,id_4177,0.3473,id_2701,0.3174,id_1535,0.3027,False
id_556,id_556,0.4833,id_9291,0.4383,id_9356,0.4360,True
id_556,id_556,0.6713,id_476,0.4934,id_5257,0.4415,True
id_556,id_556,0.6327,id_476,0.4959,id_2480,0.4596,True
id_556,id_556,0.4985,id_6221,0.4710,id_10116,0.3966,True
id_556,id_556,0.5911,id_476,0.4602,id_2480,0.4589,True
id_556,id_556,0.5414,id_476,0.4413,id_528,0.4121,True
id_556,id_556,0.5755,id_2480,0.4844,id_476,0.4390,True
id_556,id_556,0.5833,id_476,0.4224,id_10116,0.3814,True
id_556,id_556,0.6244,id_476,0.5071,id_9051,0.4620,True
id_556,id_1357,0.4048,id_556,0.3797,id_5981,0.3354,True
id_556,id_9356,0.4391,id_476,0.4349,id_3926,0.4253,False
id_556,id_556,0.6110,id_476,0.5361,id_1514,0.4596,True
id_556,id_5273,0.4100,id_3165,0.4074,id_7282,0.4061,False
id_556,id_556,0.5416,id_476,0.4949,id_2480,0.4821,True
id_556,id_556,0.6215,id_476,0.4566,id_715,0.4532,True
id_556,id_9356,0.4772,id_9291,0.4669,id_556,0.4553,True
id_556,id_556,0.6386,id_476,0.5176,id_1514,0.4529,True
id_556,id_556,0.5138,id_2480,0.5067,id_476,0.4796,True
id_5689,id_5689,0.5961,id_6062,0.4821,id_7270,0.4641,True
id_5689,id_5689,0.5413,id_7069,0.3665,id_1888,0.3641,True
id_5689,id_5689,0.5823,id_5058,0.4058,id_8764,0.4048,True
id_5689,id_5689,0.6323,id_1724,0.4693,id_6811,0.4318,True
id_5689,id_8755,0.3519,id_6088,0.3149,id_6816,0.3124,False
id_5689,id_5689,0.5666,id_1724,0.4473,id_4968,0.4323,True
id_5689,id_5689,0.5885,id_1724,0.4359,id_6062,0.4059,True
id_5689,id_5689,0.7374,id_1724,0.4485,id_6288,0.4388,True
id_5689,id_5689,0.5723,id_5058,0.4204,id_7270,0.3918,True
id_5689,id_5689,0.7082,id_3159,0.4610,id_6062,0.4582,True
id_3106,id_3106,0.5028,id_6115,0.3873,id_1795,0.3690,True
id_3106,id_6821,0.3459,id_6770,0.3199,id_9259,0.3195,False
id_3106,id_9031,0.3581,id_9716,0.3518,id_7197,0.3503,False
id_3106,id_3106,0.5489,id_3206,0.3616,id_4162,0.3347,True
id_3106,id_2701,0.2783,id_1535,0.2620,id_475,0.2607,False
id_3106,id_9905,0.2948,id_3106,0.2948,id_2439,0.2938,True
id_3106,id_2136,0.3777,id_2710,0.3557,id_6826,0.3518,False
id_3106,id_3106,0.5067,id_5128,0.3674,id_5906,0.3626,True
id_3106,id_3106,0.5747,id_3299,0.3851,id_9166,0.3779,True
id_3106,id_3106,0.4864,id_1350,0.4067,id_1571,0.3928,True
id_3106,id_3106,0.5323,id_3407,0.3860,id_8883,0.3665,True
id_3106,id_2439,0.3532,id_2,0.3304,id_4009,0.3263,False
id_3106,id_3106,0.4423,id_6741,0.3547,id_9524,0.3502,True
