epoch,train_loss,val_loss,rank1_acc,rank3_acc
1,15.3254,12.3491,15.50,16.40
2,10.8652,9.9020,15.80,16.60
3,9.2481,9.0890,15.90,16.30
4,8.8039,8.9546,15.30,16.40
5,8.7525,8.9807,15.60,16.90
6,8.7490,9.0126,15.70,16.40
7,8.7234,9.0344,15.50,16.10
8,7.9952,8.7425,15.80,16.70
9,7.8250,8.6562,15.30,16.60
10,7.7505,8.6188,15.60,16.70
11,7.7189,8.6174,15.80,17.00
12,7.7030,8.5993,16.30,16.70
13,7.6919,8.5826,16.00,17.20
14,7.6933,8.5902,15.40,16.30
15,7.6878,8.5761,16.20,17.20
16,7.6905,8.5896,16.00,16.90
17,7.6903,8.6011,16.50,17.10
18,7.6909,8.6024,15.40,16.80
19,7.5232,8.5954,15.60,16.80
20,7.5177,8.6025,15.60,16.70
