query_id,top1_id,top1_similarity,top2_id,top2_similarity,top3_id,top3_similarity,is_correct_top1
id_6811,id_873,0.5131,id_8044,0.4574,id_1021,0.4253,False
id_6811,id_6811,0.5892,id_7270,0.5604,id_7069,0.5499,True
id_6811,id_6811,0.5423,id_7069,0.4961,id_2628,0.4840,True
id_6811,id_6811,0.6231,id_7069,0.6156,id_4515,0.5449,True
id_6811,id_8044,0.5410,id_6811,0.5335,id_7069,0.5301,False
id_6811,id_6811,0.6305,id_7069,0.5647,id_873,0.5608,True
id_6811,id_6811,0.6608,id_4515,0.5766,id_7069,0.5672,True
id_6811,id_873,0.5506,id_6811,0.5176,id_8044,0.4926,False
id_6811,id_6811,0.6931,id_7069,0.5913,id_4515,0.5673,True
id_6811,id_6811,0.5857,id_4968,0.5642,id_7069,0.5642,True
id_6811,id_6811,0.6256,id_873,0.6201,id_7069,0.5737,True
id_6811,id_7069,0.6294,id_873,0.6003,id_6811,0.5858,False
id_6811,id_6811,0.6487,id_873,0.5795,id_7069,0.5634,True
id_6811,id_6811,0.6589,id_873,0.5936,id_7069,0.5746,True
id_6811,id_6811,0.6743,id_7069,0.6160,id_873,0.5489,True
id_6811,id_6623,0.4741,id_652,0.4381,id_496,0.4319,False
id_6811,id_6811,0.6178,id_7069,0.5836,id_5689,0.5722,True
id_6811,id_6811,0.6459,id_7069,0.5806,id_4968,0.5568,True
id_6811,id_6811,0.7018,id_7069,0.6069,id_4317,0.5689,True
id_6811,id_6811,0.6632,id_7069,0.6441,id_4515,0.5807,True
id_6811,id_6811,0.6584,id_7069,0.5833,id_873,0.5753,True
id_6811,id_6811,0.6647,id_4317,0.5890,id_7069,0.5739,True
id_6811,id_6811,0.6116,id_873,0.5885,id_7069,0.5314,True
id_6811,id_6811,0.5921,id_7270,0.5880,id_7069,0.5864,True
id_6811,id_6811,0.6541,id_7069,0.6158,id_5689,0.5695,True
id_6811,id_6811,0.6255,id_7069,0.6110,id_4968,0.5687,True
id_6811,id_1724,0.5138,id_7069,0.4976,id_5425,0.4772,False
id_6811,id_6811,0.6521,id_873,0.5271,id_4515,0.5159,True
id_6811,id_6811,0.6184,id_4515,0.5559,id_873,0.5486,True
id_6811,id_6811,0.6908,id_873,0.5653,id_7069,0.5595,True
id_6811,id_6811,0.6240,id_8044,0.5926,id_7270,0.5861,True
id_6811,id_873,0.5973,id_7069,0.5182,id_6811,0.4821,False
id_6811,id_6811,0.6607,id_7069,0.6121,id_4515,0.5765,True
id_6811,id_6811,0.6568,id_7069,0.5933,id_873,0.5570,True
id_6811,id_6811,0.6105,id_7069,0.6029,id_873,0.5753,True
id_6811,id_6811,0.6822,id_873,0.5985,id_7069,0.5792,True
id_6811,id_6811,0.6793,id_7069,0.6278,id_873,0.5773,True
id_6811,id_6811,0.6551,id_7069,0.6227,id_873,0.6146,True
id_6811,id_1767,0.4367,id_7270,0.4248,id_1724,0.4078,False
id_6811,id_6811,0.6609,id_873,0.5787,id_4515,0.5762,True
id_6811,id_6811,0.6772,id_7069,0.6157,id_873,0.6122,True
id_6811,id_6811,0.5514,id_873,0.5436,id_8044,0.5386,True
id_6811,id_6811,0.6810,id_7069,0.6185,id_873,0.5664,True
id_6811,id_6811,0.5900,id_8044,0.5888,id_7069,0.5840,True
id_6811,id_7270,0.5904,id_6811,0.5891,id_7069,0.5580,False
id_6811,id_6811,0.6677,id_873,0.6250,id_7270,0.5741,True
id_6811,id_6811,0.6680,id_7069,0.6237,id_7270,0.5944,True
id_6811,id_6811,0.6968,id_7069,0.6088,id_873,0.6018,True
id_6811,id_8044,0.4784,id_1722,0.4681,id_7019,0.4543,False
id_6811,id_6811,0.6665,id_5689,0.6333,id_7069,0.6247,True
id_6811,id_6811,0.6770,id_7069,0.5801,id_4968,0.5528,True
id_6811,id_6811,0.6120,id_7270,0.5794,id_7069,0.5453,True
id_6811,id_6811,0.6394,id_601,0.6385,id_4515,0.6054,True
id_6811,id_873,0.5784,id_6811,0.5780,id_7069,0.5581,False
id_6811,id_6811,0.5984,id_7069,0.5834,id_6288,0.5561,True
id_6811,id_2842,0.6149,id_8297,0.6028,id_2257,0.5892,False
id_6811,id_6811,0.5855,id_7069,0.5748,id_8044,0.5684,True
id_6811,id_6811,0.5974,id_7069,0.5796,id_4515,0.5523,True
id_6811,id_873,0.5571,id_4515,0.5338,id_1724,0.5064,False
id_6811,id_7069,0.5825,id_1724,0.5589,id_6811,0.5451,False
id_6811,id_6811,0.6726,id_873,0.5891,id_4515,0.5410,True
id_6811,id_6811,0.6289,id_873,0.6036,id_7069,0.5775,True
id_6811,id_6811,0.6773,id_7069,0.5653,id_873,0.5524,True
id_6811,id_6811,0.5562,id_4968,0.5481,id_2257,0.5304,True
id_6811,id_6811,0.6353,id_873,0.5455,id_4515,0.5404,True
id_6811,id_6811,0.7076,id_7069,0.6158,id_873,0.5911,True
id_6811,id_6811,0.6634,id_7069,0.6288,id_873,0.5923,True
id_6811,id_6811,0.6813,id_7069,0.5553,id_2628,0.5539,True
id_6811,id_6811,0.6483,id_4515,0.6450,id_7069,0.5763,True
id_6811,id_6811,0.6861,id_7069,0.5956,id_873,0.5855,True
id_6811,id_6811,0.5588,id_2842,0.5498,id_873,0.5242,True
id_6811,id_873,0.6026,id_6811,0.5817,id_7069,0.5489,False
id_6811,id_6811,0.6663,id_7069,0.6110,id_873,0.5868,True
id_6811,id_6811,0.6072,id_2257,0.5343,id_7069,0.5301,True
id_6811,id_8044,0.5396,id_6811,0.5231,id_873,0.5217,False
id_6811,id_6811,0.6379,id_7069,0.5810,id_4968,0.5744,True
id_6811,id_873,0.5359,id_4515,0.4897,id_3571,0.4792,False
id_6811,id_6811,0.6878,id_873,0.5898,id_7069,0.5656,True
id_6811,id_5689,0.6333,id_6811,0.6177,id_7069,0.5750,False
id_6811,id_6811,0.6765,id_7069,0.5773,id_4317,0.5738,True
id_6811,id_8486,0.4035,id_2701,0.3931,id_7554,0.3894,False
id_6811,id_6811,0.6358,id_4515,0.5712,id_7069,0.5529,True
id_6811,id_6811,0.6870,id_7069,0.6127,id_873,0.5947,True
id_6811,id_6811,0.6764,id_7069,0.6093,id_873,0.5773,True
id_6811,id_1724,0.5613,id_1767,0.5278,id_6811,0.5126,False
id_6811,id_6811,0.6767,id_873,0.5941,id_7069,0.5854,True
id_6811,id_873,0.6036,id_6811,0.5969,id_7270,0.5613,False
id_6811,id_6811,0.6272,id_7069,0.5633,id_873,0.5434,True
id_6811,id_6811,0.6172,id_4317,0.6108,id_873,0.6105,True
id_6811,id_6811,0.6467,id_873,0.5727,id_7069,0.5488,True
id_6811,id_1724,0.4679,id_7270,0.4607,id_1767,0.4452,False
id_6811,id_7069,0.5836,id_2257,0.5222,id_6811,0.5162,False
id_6811,id_6811,0.6433,id_873,0.5645,id_5689,0.5630,True
id_6811,id_6811,0.6848,id_873,0.6023,id_7069,0.5936,True
id_6811,id_6811,0.6550,id_873,0.5908,id_7069,0.5605,True
id_6811,id_4177,0.4617,id_2235,0.4251,id_9398,0.4228,False
id_6811,id_6811,0.6075,id_873,0.5723,id_7270,0.5474,True
id_6811,id_6811,0.6028,id_873,0.5998,id_7069,0.5569,True
id_6811,id_4317,0.5718,id_7270,0.5715,id_6811,0.5672,False
id_6811,id_6811,0.7039,id_7069,0.6015,id_873,0.5920,True
id_6811,id_6811,0.6772,id_7069,0.6428,id_873,0.5845,True
id_6811,id_5689,0.5579,id_873,0.5537,id_6811,0.5481,False
id_6811,id_6811,0.6625,id_7069,0.6328,id_8044,0.5524,True
id_6811,id_7069,0.6239,id_4515,0.5591,id_6811,0.5472,False
id_6811,id_6811,0.6499,id_873,0.5740,id_7069,0.5719,True
id_6811,id_7270,0.5690,id_6811,0.5478,id_873,0.5458,False
id_6811,id_6811,0.5624,id_7270,0.5621,id_4515,0.5376,True
id_6811,id_873,0.6324,id_6811,0.6240,id_7069,0.5364,False
id_6811,id_6811,0.6324,id_7069,0.6204,id_873,0.5520,True
id_6811,id_6811,0.6398,id_5689,0.5429,id_7069,0.5390,True
id_6811,id_6811,0.6562,id_873,0.6017,id_7069,0.5897,True
id_6811,id_873,0.5914,id_6811,0.5518,id_7069,0.5353,False
id_6811,id_8044,0.4872,id_873,0.4843,id_8764,0.4519,False
id_6811,id_1021,0.5837,id_7019,0.5589,id_10468,0.5581,False
id_6811,id_6811,0.6299,id_873,0.5872,id_4515,0.5770,True
id_6811,id_873,0.6269,id_6811,0.5929,id_7069,0.5716,False
id_6811,id_7554,0.2854,id_8472,0.2801,id_873,0.2772,False
id_6811,id_6811,0.6652,id_7069,0.5957,id_873,0.5838,True
id_6811,id_6811,0.6808,id_7069,0.6290,id_4515,0.5726,True
id_6811,id_6811,0.6946,id_7069,0.6327,id_873,0.5910,True
id_6811,id_6811,0.5785,id_1724,0.5458,id_7069,0.5417,True
id_6811,id_6811,0.6462,id_7069,0.6180,id_873,0.5780,True
id_6811,id_6811,0.6786,id_7069,0.6408,id_4515,0.5592,True
id_6811,id_1767,0.4981,id_4317,0.4832,id_6811,0.4758,False
id_6811,id_6811,0.6108,id_7069,0.5822,id_873,0.5786,True
id_6811,id_4968,0.5645,id_7270,0.5511,id_1724,0.5493,False
id_6811,id_6811,0.5828,id_873,0.5614,id_7925,0.5466,True
id_6811,id_873,0.6286,id_4515,0.6116,id_6811,0.5836,False
id_6811,id_873,0.4647,id_4515,0.4135,id_1767,0.4129,False
id_6811,id_6811,0.5568,id_7069,0.5370,id_1767,0.5280,True
id_6811,id_4515,0.5826,id_873,0.5689,id_6811,0.5592,False
id_6811,id_3571,0.4407,id_7019,0.4330,id_6502,0.4234,False
id_6811,id_6811,0.6077,id_5689,0.5876,id_7069,0.5486,True
id_6811,id_6811,0.6516,id_4515,0.5802,id_7069,0.5673,True
id_6811,id_8044,0.6028,id_6811,0.5751,id_7270,0.5523,False
id_6811,id_1767,0.4936,id_2842,0.4919,id_873,0.4872,False
id_6811,id_6811,0.6598,id_7069,0.6170,id_4317,0.5495,True
id_6811,id_7069,0.6178,id_6811,0.6122,id_873,0.5854,False
id_6811,id_6811,0.5837,id_7270,0.5584,id_2628,0.5268,True
id_6811,id_6811,0.6619,id_7069,0.5766,id_4317,0.5667,True
id_6811,id_1724,0.4929,id_7069,0.4923,id_873,0.4833,False
id_6811,id_7069,0.6017,id_5689,0.5919,id_6062,0.5878,False
id_6811,id_6811,0.6130,id_7069,0.6099,id_873,0.5550,True
id_6811,id_6811,0.5607,id_5689,0.5226,id_8764,0.5096,True
id_6811,id_6811,0.6607,id_7069,0.5987,id_873,0.5342,True
id_6811,id_6811,0.6268,id_873,0.5326,id_2628,0.5270,True
id_6811,id_6811,0.6307,id_7069,0.6104,id_873,0.5485,True
id_6811,id_6811,0.6776,id_7069,0.6086,id_873,0.5563,True
id_6811,id_6811,0.6857,id_4515,0.6097,id_7069,0.6015,True
id_6811,id_873,0.5893,id_6811,0.5232,id_2628,0.5193,False
id_6811,id_6811,0.6621,id_7069,0.6058,id_873,0.6034,True
id_6811,id_6811,0.7052,id_7069,0.5540,id_8044,0.5261,True
id_6811,id_6811,0.6348,id_873,0.5617,id_7069,0.5146,True
id_6811,id_6811,0.6824,id_7069,0.6170,id_4515,0.6149,True
id_6811,id_873,0.5615,id_6811,0.5187,id_8044,0.4824,False
id_6811,id_6811,0.6954,id_7069,0.6042,id_873,0.5842,True
id_6811,id_6811,0.6530,id_7069,0.6206,id_4968,0.6122,True
id_6811,id_6811,0.5957,id_2628,0.5826,id_7069,0.5796,True
id_6811,id_6811,0.6081,id_7069,0.5984,id_4515,0.5713,True
id_6811,id_6811,0.6446,id_4515,0.5985,id_7270,0.5745,True
id_6811,id_1724,0.5710,id_7069,0.5478,id_4515,0.5250,False
id_6811,id_6811,0.6186,id_873,0.6130,id_2842,0.5329,True
id_6811,id_873,0.6019,id_8044,0.5242,id_6811,0.5008,False
id_6811,id_6811,0.6609,id_7069,0.6039,id_873,0.5867,True
id_6811,id_6811,0.6385,id_7069,0.5974,id_5689,0.5908,True
id_6811,id_6811,0.6114,id_7270,0.5994,id_7069,0.5796,True
id_6811,id_6811,0.5677,id_7069,0.5574,id_4515,0.5519,True
id_6811,id_6811,0.6065,id_873,0.5924,id_5689,0.5538,True
id_6811,id_2842,0.5731,id_6811,0.5595,id_873,0.5508,False
id_6811,id_9393,0.2340,id_3218,0.2089,id_2701,0.1954,False
id_6811,id_6811,0.6497,id_873,0.6164,id_4515,0.5357,True
id_6811,id_6811,0.6040,id_7069,0.5847,id_873,0.5407,True
id_6811,id_7069,0.6339,id_6811,0.6225,id_5689,0.5797,False
id_6811,id_873,0.6133,id_6811,0.5870,id_7069,0.5815,False
id_6811,id_6811,0.5921,id_873,0.5768,id_7069,0.5455,True
id_6811,id_6811,0.6871,id_7069,0.5966,id_4317,0.5842,True
id_6811,id_6811,0.6342,id_7270,0.6142,id_8044,0.5825,True
id_6811,id_6811,0.6724,id_7069,0.6352,id_873,0.5826,True
id_6811,id_6811,0.6983,id_7069,0.6163,id_873,0.5567,True
id_6811,id_6811,0.6317,id_7069,0.6205,id_873,0.5366,True
id_9267,id_9267,0.5828,id_9619,0.5584,id_9484,0.5334,True
id_9267,id_8414,0.5323,id_10203,0.5086,id_1795,0.4967,False
id_9267,id_9267,0.5665,id_8414,0.5117,id_8486,0.5020,True
id_9267,id_9484,0.6242,id_8414,0.5039,id_1924,0.5037,False
id_9267,id_2108,0.5052,id_8414,0.4835,id_5232,0.4685,False
id_9267,id_9267,0.6151,id_8414,0.5453,id_9484,0.5360,True
id_9267,id_9484,0.5502,id_9267,0.5443,id_8414,0.5218,False
id_9267,id_9484,0.6133,id_7079,0.4969,id_6582,0.4940,False
id_9267,id_9484,0.4957,id_7451,0.4920,id_488,0.4832,False
id_9267,id_8414,0.5040,id_9267,0.4930,id_1851,0.4734,False
id_9598,id_10007,0.5562,id_4433,0.5130,id_10152,0.5113,False
id_9598,id_8531,0.5140,id_6741,0.5094,id_8486,0.5081,False
id_9598,id_4009,0.4953,id_6878,0.4698,id_9379,0.4559,False
id_9598,id_9598,0.5873,id_8486,0.5375,id_9030,0.5029,True
id_9598,id_9598,0.4900,id_6741,0.4893,id_2701,0.4618,True
id_9598,id_7567,0.4624,id_10206,0.4556,id_3289,0.4546,False
id_9598,id_9598,0.6629,id_9272,0.5419,id_10203,0.5308,True
id_9598,id_9598,0.4931,id_5426,0.4600,id_1724,0.4424,True
id_9598,id_2701,0.5241,id_9598,0.5077,id_10007,0.4848,False
id_9598,id_8486,0.5608,id_3341,0.5400,id_9598,0.5288,False
id_9598,id_9393,0.2513,id_3218,0.2279,id_2701,0.2077,False
id_9598,id_9393,0.3089,id_2701,0.2812,id_3218,0.2320,False
id_9598,id_9598,0.5694,id_9272,0.5139,id_8486,0.4739,True
id_9598,id_9598,0.5659,id_10203,0.5187,id_7204,0.5123,True
id_9598,id_9393,0.2208,id_3218,0.1943,id_2701,0.1837,False
id_212,id_212,0.6540,id_1227,0.4546,id_264,0.4526,True
id_212,id_212,0.5676,id_4583,0.4973,id_3866,0.4756,True
id_212,id_212,0.6235,id_10500,0.4566,id_2108,0.4547,True
id_212,id_10007,0.5596,id_7834,0.5489,id_65,0.5225,False
id_212,id_212,0.5236,id_4583,0.4720,id_3578,0.4511,True
id_212,id_212,0.5337,id_10500,0.4774,id_3257,0.4658,True
id_212,id_212,0.6463,id_2689,0.4694,id_264,0.4619,True
id_212,id_212,0.6372,id_2108,0.4783,id_4583,0.4745,True
id_212,id_212,0.6737,id_264,0.4659,id_475,0.4517,True
id_212,id_9809,0.4612,id_540,0.4552,id_3578,0.4459,False
id_9166,id_9166,0.5824,id_2478,0.5418,id_1853,0.5277,True
id_9166,id_2478,0.5399,id_9166,0.5353,id_1853,0.5074,False
id_9166,id_7904,0.5162,id_6266,0.5134,id_9419,0.5006,False
id_9166,id_5756,0.5698,id_8414,0.4997,id_9166,0.4821,False
id_9166,id_9166,0.5479,id_1853,0.5238,id_1612,0.5103,True
id_9166,id_9166,0.5775,id_1853,0.5615,id_2478,0.5521,True
id_9166,id_1853,0.5723,id_2478,0.5678,id_9166,0.5664,False
id_9166,id_9166,0.5706,id_2712,0.5162,id_3736,0.5036,True
id_9166,id_2287,0.5398,id_2478,0.5375,id_9166,0.5364,False
id_9166,id_9166,0.5705,id_1853,0.5650,id_5756,0.5574,True
id_9166,id_9166,0.5337,id_5756,0.5322,id_1853,0.5069,True
id_9166,id_9166,0.5374,id_2478,0.5106,id_1853,0.4881,True
id_9166,id_6278,0.5232,id_4233,0.5134,id_9032,0.5033,False
id_9166,id_7166,0.4731,id_8975,0.4651,id_3026,0.4620,False
