query_id,top1_id,top1_similarity,top2_id,top2_similarity,top3_id,top3_similarity,is_correct_top1
id_6811,id_6811,0.5464,id_7069,0.2737,id_873,0.2593,True
id_6811,id_6811,0.5794,id_873,0.2639,id_5425,0.2526,True
id_6811,id_6811,0.6468,id_9230,0.2597,id_7069,0.2444,True
id_6811,id_6811,0.4474,id_5134,0.1723,id_873,0.1717,True
id_6811,id_6811,0.6509,id_873,0.2127,id_7069,0.1958,True
id_6811,id_6811,0.5201,id_873,0.3344,id_5689,0.2778,True
id_6811,id_6811,0.6006,id_873,0.2346,id_7032,0.2215,True
id_6811,id_6811,0.5150,id_873,0.3495,id_1888,0.2426,True
id_6811,id_6811,0.5829,id_873,0.2606,id_7032,0.2064,True
id_6811,id_6811,0.6486,id_873,0.2710,id_5689,0.2551,True
id_6811,id_6811,0.6518,id_7069,0.2384,id_8977,0.1972,True
id_6811,id_6434,0.2285,id_312,0.2092,id_142,0.1839,False
id_6811,id_6811,0.6320,id_873,0.2736,id_5689,0.2710,True
id_6811,id_6811,0.6767,id_5134,0.2448,id_873,0.2425,True
id_6811,id_6811,0.6892,id_873,0.2563,id_7952,0.2448,True
id_6811,id_6811,0.5411,id_9230,0.2337,id_7218,0.1740,True
id_6811,id_6811,0.6162,id_873,0.2420,id_4515,0.2141,True
id_6811,id_6811,0.6451,id_873,0.2380,id_3058,0.2190,True
id_6811,id_6811,0.6265,id_3571,0.2259,id_7772,0.2215,True
id_6811,id_6811,0.5061,id_4515,0.2732,id_9230,0.2444,True
id_6811,id_6811,0.6016,id_5689,0.2397,id_7032,0.2239,True
id_6811,id_6811,0.6038,id_7069,0.2764,id_5689,0.2620,True
id_6811,id_6811,0.3683,id_56,0.2444,id_4882,0.2418,True
id_6811,id_6811,0.5673,id_4515,0.1839,id_5689,0.1605,True
id_6811,id_6811,0.6473,id_873,0.2637,id_5689,0.2556,True
id_6811,id_6811,0.6089,id_2833,0.2103,id_5222,0.2026,True
id_6811,id_6811,0.5561,id_1021,0.2735,id_873,0.2616,True
id_6811,id_6811,0.5973,id_5689,0.1735,id_6894,0.1682,True
id_6811,id_6811,0.6186,id_873,0.1984,id_1851,0.1746,True
id_6811,id_6811,0.5280,id_9230,0.3055,id_873,0.2768,True
id_6811,id_6811,0.6348,id_873,0.2999,id_4515,0.2433,True
id_6811,id_6811,0.6509,id_5689,0.3201,id_873,0.2840,True
id_6811,id_6811,0.6626,id_873,0.3186,id_4515,0.3146,True
id_6811,id_6811,0.6197,id_5689,0.2761,id_7367,0.2321,True
id_6811,id_6811,0.6535,id_873,0.3791,id_5689,0.2794,True
id_6811,id_6811,0.4455,id_8866,0.1722,id_7772,0.1704,True
id_6811,id_6811,0.6507,id_873,0.2798,id_4515,0.2418,True
id_6811,id_6811,0.4192,id_5134,0.2428,id_7549,0.1791,True
id_6811,id_6811,0.5150,id_873,0.2677,id_7763,0.2129,True
