model,query_id,false_count,total,false_rate
Aligned_Pretrained,id_1795,29,29,1.000000
Aligned_Pretrained,id_221,26,164,0.158537
Aligned_Pretrained,id_1226,23,231,0.099567
Aligned_Pretrained,id_2439,21,224,0.093750
Aligned_Pretrained,id_1542,20,286,0.069930
Aligned_Pretrained,id_6213,17,46,0.369565
Aligned_Pretrained,id_69,17,218,0.077982
Aligned_Pretrained,id_4670,17,293,0.058020
Aligned_Pretrained,id_1412,16,70,0.228571
Aligned_Pretrained,id_3517,15,35,0.428571
Aligned_Pretrained_CBAM_Block,id_221,30,164,0.182927
Aligned_Pretrained_CBAM_Block,id_2439,30,224,0.133929
Aligned_Pretrained_CBAM_Block,id_1795,29,29,1.000000
Aligned_Pretrained_CBAM_Block,id_6213,17,46,0.369565
Aligned_Pretrained_CBAM_Block,id_3517,14,35,0.400000
Aligned_Pretrained_CBAM_Block,id_27,14,82,0.170732
Aligned_Pretrained_CBAM_Block,id_1226,14,231,0.060606
Aligned_Pretrained_CBAM_Block,id_1542,14,286,0.048951
Aligned_Pretrained_CBAM_Block,id_3503,13,108,0.120370
Aligned_Pretrained_CBAM_Block,id_6284,13,150,0.086667
Aligned_Pretrained_Transformers,id_69,30,218,0.137615
Aligned_Pretrained_Transformers,id_1226,29,231,0.125541
Aligned_Pretrained_Transformers,id_1795,28,29,0.965517
Aligned_Pretrained_Transformers,id_221,27,164,0.164634
Aligned_Pretrained_Transformers,id_2439,25,224,0.111607
Aligned_Pretrained_Transformers,id_4670,25,293,0.085324
Aligned_Pretrained_Transformers,id_476,24,176,0.136364
Aligned_Pretrained_Transformers,id_1542,23,286,0.080420
Aligned_Pretrained_Transformers,id_6213,18,46,0.391304
Aligned_Pretrained_Transformers,id_3165,18,119,0.151261
