query_id,top1_id,top1_similarity,top2_id,top2_similarity,top3_id,top3_similarity,is_correct_top1
id_6811,id_3058,0.2655,id_10419,0.2297,id_6811,0.2239,False
id_6811,id_6811,0.5129,id_7270,0.3112,id_5689,0.3081,True
id_6811,id_6811,0.5423,id_5689,0.3496,id_6302,0.2744,True
id_6811,id_6811,0.5212,id_7968,0.2087,id_5134,0.2004,True
id_6811,id_6811,0.4070,id_1722,0.2209,id_10442,0.2012,True
id_6811,id_6811,0.4463,id_5689,0.2869,id_4515,0.2862,True
id_6811,id_6811,0.3728,id_873,0.2419,id_5689,0.2219,True
id_6811,id_6811,0.4712,id_7218,0.2435,id_7968,0.2352,True
id_6811,id_6811,0.4208,id_5689,0.2518,id_873,0.2135,True
id_6811,id_6811,0.5799,id_7218,0.2211,id_792,0.2185,True
id_6811,id_6811,0.5016,id_5689,0.3058,id_7069,0.2184,True
id_6811,id_6811,0.5221,id_5134,0.2929,id_9230,0.2584,True
id_6811,id_6811,0.6207,id_5689,0.3007,id_5134,0.2773,True
id_6811,id_6811,0.4498,id_7218,0.2136,id_7763,0.1942,True
id_6811,id_6811,0.4883,id_4515,0.2533,id_5689,0.2467,True
id_6811,id_6811,0.5753,id_7968,0.2954,id_7218,0.2942,True
id_6811,id_6811,0.5264,id_7032,0.2417,id_2369,0.2345,True
id_6811,id_6811,0.3411,id_1155,0.2677,id_7069,0.2545,True
id_6811,id_6811,0.5004,id_5689,0.3205,id_7763,0.2262,True
id_6811,id_6811,0.4109,id_7270,0.2464,id_7763,0.2457,True
id_6811,id_6811,0.3138,id_4317,0.2654,id_873,0.2538,True
id_6811,id_6811,0.4943,id_5689,0.2504,id_7763,0.2290,True
id_6811,id_6811,0.4785,id_7218,0.2572,id_9230,0.2125,True
id_6811,id_6811,0.4566,id_1722,0.2275,id_7968,0.2059,True
id_6811,id_6811,0.4830,id_873,0.2742,id_7069,0.2604,True
id_6811,id_6811,0.5275,id_5689,0.2025,id_1767,0.1994,True
id_6811,id_6811,0.5206,id_1767,0.2149,id_7069,0.2118,True
id_6811,id_6811,0.3916,id_5689,0.3003,id_7968,0.2206,True
id_6811,id_6811,0.5211,id_5689,0.3231,id_9271,0.1958,True
id_6811,id_6811,0.4954,id_5689,0.2706,id_4515,0.2249,True
id_6811,id_6811,0.5492,id_7069,0.3203,id_5689,0.2900,True
id_6811,id_6811,0.4180,id_4634,0.2244,id_5689,0.2156,True
id_6811,id_6811,0.4827,id_873,0.2969,id_5689,0.2360,True
id_6811,id_6811,0.2912,id_7968,0.2123,id_9271,0.1944,True
id_6811,id_6811,0.5384,id_5425,0.3002,id_7069,0.2780,True
id_6811,id_6811,0.3170,id_2369,0.2804,id_9230,0.2492,True
id_6811,id_6811,0.4437,id_5689,0.2888,id_7763,0.2663,True
id_6811,id_6811,0.4964,id_7763,0.2388,id_7032,0.2224,True
id_6811,id_6811,0.4768,id_7270,0.2849,id_4455,0.2782,True
id_6811,id_6811,0.4593,id_7968,0.2813,id_7218,0.2241,True
id_6811,id_6811,0.5076,id_5689,0.2760,id_7218,0.2261,True
id_6811,id_6811,0.5284,id_7218,0.2292,id_9230,0.1997,True
id_6811,id_6811,0.4792,id_3058,0.2424,id_1722,0.1922,True
id_6811,id_6811,0.5227,id_5689,0.3158,id_1271,0.2755,True
id_6811,id_6811,0.3866,id_2842,0.2736,id_2257,0.2435,True
id_6811,id_6811,0.3726,id_10251,0.2487,id_7533,0.2346,True
id_6811,id_6811,0.4206,id_7069,0.2287,id_3218,0.2205,True
id_6811,id_6811,0.4428,id_3750,0.2087,id_7032,0.1819,True
id_6811,id_6811,0.4407,id_873,0.2956,id_4515,0.2346,True
id_6811,id_6811,0.5433,id_7270,0.2628,id_9230,0.2469,True
id_6811,id_6811,0.2729,id_3161,0.2246,id_2369,0.2075,True
id_6811,id_6811,0.4326,id_5689,0.2517,id_7763,0.1981,True
id_6811,id_6811,0.4600,id_6123,0.1896,id_4317,0.1739,True
id_6811,id_6811,0.5161,id_873,0.2455,id_7114,0.2382,True
id_6811,id_6811,0.4849,id_10251,0.2081,id_7218,0.1954,True
id_6811,id_6811,0.4574,id_5689,0.2309,id_9550,0.2172,True
id_6811,id_6811,0.5417,id_7069,0.2237,id_4317,0.2078,True
id_6811,id_6811,0.2262,id_9271,0.2258,id_9550,0.1823,True
id_6811,id_6811,0.3775,id_7218,0.2390,id_2439,0.2223,True
id_6811,id_6811,0.5565,id_5689,0.2875,id_873,0.2828,True
id_6811,id_6811,0.4250,id_9550,0.2388,id_3750,0.1950,True
id_6811,id_6811,0.2366,id_9187,0.2335,id_10110,0.1878,True
id_6811,id_6811,0.4962,id_5689,0.2843,id_4455,0.2110,True
id_6811,id_5425,0.3297,id_4204,0.2848,id_4515,0.2413,False
id_6811,id_6811,0.5712,id_4515,0.2335,id_7218,0.2140,True
id_6811,id_6811,0.4846,id_5689,0.3825,id_526,0.2783,True
id_6811,id_6811,0.4532,id_4317,0.1910,id_5134,0.1885,True
id_6811,id_6503,0.1938,id_10464,0.1905,id_2580,0.1888,False
id_6811,id_6811,0.5527,id_5689,0.2840,id_7763,0.2731,True
id_6811,id_6811,0.4591,id_7218,0.2468,id_3257,0.2284,True
id_6811,id_6811,0.4702,id_6123,0.2043,id_2628,0.2012,True
id_6811,id_6811,0.4791,id_2628,0.2400,id_5689,0.2307,True
id_6811,id_6811,0.5344,id_873,0.2893,id_5689,0.2864,True
id_6811,id_6811,0.4041,id_4317,0.2097,id_7218,0.2079,True
id_6811,id_6811,0.3870,id_5134,0.2748,id_496,0.2728,True
id_6811,id_6811,0.3862,id_7270,0.2650,id_5689,0.2472,True
id_6811,id_6811,0.2373,id_1722,0.2372,id_7270,0.2303,True
id_6811,id_6811,0.2255,id_7218,0.2237,id_2369,0.2054,True
id_6811,id_6811,0.4916,id_5689,0.3101,id_5425,0.2870,True
id_6811,id_6811,0.5121,id_7218,0.2636,id_6123,0.2386,True
id_6811,id_6811,0.4696,id_2628,0.2537,id_7763,0.2082,True
id_6811,id_6811,0.6857,id_7069,0.3444,id_5066,0.2732,True
id_6811,id_6811,0.3682,id_7032,0.2227,id_7763,0.2206,True
id_6811,id_6811,0.3679,id_7218,0.2408,id_7968,0.1959,True
id_6811,id_6811,0.4032,id_2369,0.2500,id_6503,0.2498,True
id_6811,id_6811,0.5803,id_5689,0.3721,id_7925,0.2862,True
id_6811,id_6811,0.4718,id_7270,0.2352,id_7763,0.2210,True
id_6811,id_6811,0.3986,id_792,0.2099,id_4317,0.1953,True
id_6811,id_6811,0.3083,id_4317,0.2192,id_873,0.2130,True
id_6811,id_6811,0.4416,id_4317,0.2327,id_7218,0.2028,True
id_6811,id_6811,0.4673,id_2710,0.2557,id_4515,0.2358,True
id_6811,id_6811,0.4837,id_7763,0.2516,id_7270,0.2144,True
id_6811,id_6811,0.2623,id_7270,0.2597,id_4968,0.2545,True
id_6811,id_6811,0.3932,id_526,0.2244,id_7032,0.2243,True
id_6811,id_6811,0.5076,id_7763,0.2424,id_4515,0.2151,True
id_6811,id_6811,0.4195,id_7763,0.1991,id_7114,0.1883,True
id_6811,id_6811,0.3250,id_4317,0.1876,id_10518,0.1807,True
id_6811,id_6811,0.2721,id_4317,0.2407,id_9033,0.1677,True
id_6811,id_6811,0.2796,id_7968,0.2326,id_10468,0.2221,True
id_6811,id_6811,0.3955,id_7968,0.2293,id_7218,0.2185,True
id_6811,id_6811,0.3532,id_7772,0.1619,id_4634,0.1617,True
id_6811,id_6811,0.5886,id_5689,0.3434,id_873,0.2884,True
id_6811,id_6811,0.4391,id_7270,0.2756,id_7069,0.2352,True
id_6811,id_6811,0.4799,id_4515,0.2804,id_5689,0.2782,True
id_6811,id_6811,0.3934,id_4317,0.2245,id_7069,0.2020,True
id_6811,id_6811,0.5314,id_5689,0.2549,id_7218,0.2104,True
id_6811,id_6811,0.5760,id_5689,0.2952,id_8055,0.2731,True
id_6811,id_6811,0.2848,id_7772,0.1909,id_3161,0.1729,True
id_6811,id_6811,0.2825,id_2369,0.2148,id_4634,0.1889,True
id_6811,id_7270,0.3749,id_6811,0.3230,id_1847,0.2873,False
id_6811,id_6811,0.4698,id_7270,0.3198,id_5689,0.2937,True
id_6811,id_6811,0.3990,id_4317,0.3026,id_4515,0.2450,True
id_6811,id_6811,0.3672,id_3218,0.2684,id_4515,0.2128,True
id_6811,id_6811,0.4385,id_5689,0.2890,id_873,0.2854,True
id_6811,id_3674,0.1575,id_6637,0.1449,id_1047,0.1438,False
id_6811,id_6811,0.3697,id_1722,0.2369,id_7925,0.2224,True
id_6811,id_6811,0.4847,id_5425,0.2193,id_5689,0.2061,True
id_6811,id_6811,0.3713,id_792,0.2121,id_1722,0.2020,True
id_6811,id_6811,0.3284,id_5689,0.2993,id_5134,0.2977,True
id_6811,id_6811,0.4891,id_8977,0.2620,id_5689,0.2584,True
id_6811,id_6811,0.4337,id_873,0.2254,id_8604,0.2023,True
id_6811,id_6811,0.3862,id_7270,0.2295,id_7763,0.2208,True
id_6811,id_6811,0.4807,id_1722,0.2339,id_4317,0.2227,True
id_6811,id_6811,0.3730,id_6523,0.2849,id_10343,0.2682,True
id_6811,id_6811,0.3504,id_7069,0.2977,id_6062,0.2323,True
id_6811,id_6811,0.4788,id_5689,0.2148,id_7032,0.2025,True
id_6811,id_6811,0.3738,id_4634,0.2033,id_594,0.1840,True
id_6811,id_6811,0.3354,id_2628,0.2213,id_7032,0.2199,True
id_6811,id_6811,0.5117,id_5689,0.3563,id_2628,0.3009,True
id_6811,id_6811,0.4615,id_4317,0.2046,id_6123,0.1905,True
id_6811,id_6811,0.5253,id_7069,0.2143,id_7218,0.2127,True
id_6811,id_6811,0.5436,id_5689,0.2951,id_2628,0.2576,True
id_6811,id_6811,0.4476,id_3058,0.2152,id_10251,0.2128,True
id_6811,id_6811,0.4477,id_4317,0.2097,id_4882,0.2085,True
id_6811,id_6811,0.4797,id_5689,0.2380,id_1767,0.2142,True
id_6811,id_6811,0.3618,id_5689,0.2449,id_8604,0.2089,True
id_6811,id_6811,0.5919,id_5689,0.3092,id_9550,0.2978,True
id_6811,id_6811,0.4406,id_5689,0.2144,id_7032,0.1862,True
id_6811,id_6811,0.4808,id_8977,0.2130,id_5922,0.2097,True
id_6811,id_6811,0.4763,id_3257,0.2157,id_4455,0.2106,True
id_6811,id_6811,0.3188,id_4515,0.1952,id_6523,0.1926,True
id_6811,id_6811,0.3893,id_10251,0.1982,id_7772,0.1969,True
id_6811,id_488,0.2479,id_4882,0.1992,id_6811,0.1979,False
id_6811,id_6811,0.5222,id_4515,0.2276,id_7218,0.2140,True
id_6811,id_6811,0.5295,id_5689,0.2446,id_8977,0.2146,True
id_6811,id_6811,0.4275,id_5689,0.2300,id_7763,0.2114,True
id_6811,id_6811,0.3859,id_5689,0.2587,id_4455,0.2046,True
id_6811,id_6811,0.5214,id_5689,0.3061,id_873,0.2704,True
id_6811,id_6811,0.4048,id_4317,0.2687,id_7069,0.2481,True
id_6811,id_6811,0.7294,id_873,0.3109,id_5134,0.2859,True
id_6811,id_6811,0.4774,id_7218,0.1885,id_7114,0.1753,True
id_6811,id_6811,0.5085,id_7763,0.2029,id_5689,0.2016,True
id_6811,id_6811,0.4776,id_5689,0.2830,id_4317,0.2715,True
id_6811,id_6811,0.4446,id_2628,0.3096,id_5689,0.2824,True
id_6811,id_6811,0.3522,id_4317,0.2053,id_10442,0.1848,True
id_6811,id_6811,0.4691,id_1722,0.2186,id_7763,0.2179,True
id_6811,id_6811,0.3918,id_2246,0.2632,id_7032,0.2541,True
id_6811,id_6811,0.5511,id_5689,0.2822,id_7069,0.2395,True
id_6811,id_6811,0.5053,id_7218,0.2561,id_7763,0.2276,True
id_6811,id_6811,0.4304,id_3238,0.2948,id_4801,0.2768,True
id_9267,id_9267,0.5352,id_2950,0.2049,id_2670,0.1983,True
id_9267,id_9267,0.3221,id_3537,0.2484,id_2902,0.1880,True
id_9267,id_9267,0.5343,id_9647,0.2177,id_9816,0.2159,True
id_9267,id_9267,0.3977,id_9484,0.2630,id_2670,0.2200,True
id_9267,id_9267,0.4978,id_9835,0.2493,id_2670,0.2491,True
id_9267,id_9267,0.3656,id_4369,0.2448,id_10532,0.2426,True
id_9267,id_9267,0.2764,id_2357,0.2122,id_5221,0.2009,True
id_9267,id_6556,0.2384,id_9619,0.2317,id_5128,0.2264,False
id_9267,id_9267,0.3223,id_8627,0.2979,id_9619,0.2784,True
id_9598,id_9598,0.3846,id_4619,0.2697,id_7470,0.2126,True
id_9598,id_10152,0.2320,id_10239,0.2273,id_1795,0.2219,False
id_9598,id_9598,0.3423,id_831,0.1932,id_4619,0.1804,True
id_9598,id_1795,0.1966,id_4063,0.1960,id_8440,0.1926,False
id_9598,id_9598,0.4527,id_4619,0.2686,id_2802,0.2686,True
id_9598,id_9598,0.4634,id_6376,0.2665,id_6302,0.2372,True
id_9598,id_9598,0.3063,id_4086,0.2024,id_4619,0.1986,True
id_9598,id_9598,0.3551,id_2291,0.2275,id_6123,0.2150,True
