query_id,top1_id,top1_similarity,top2_id,top2_similarity,top3_id,top3_similarity,is_correct_top1
id_6811,id_2369,0.4905,id_7019,0.4670,id_7218,0.4606,False
id_6811,id_6811,0.6357,id_873,0.5899,id_4515,0.5370,True
id_6811,id_6811,0.6707,id_873,0.5649,id_2842,0.5275,True
id_6811,id_6811,0.5928,id_4968,0.5566,id_7069,0.5367,True
id_6811,id_873,0.7013,id_6811,0.6544,id_4515,0.5634,False
id_6811,id_6811,0.6556,id_873,0.6205,id_4515,0.5609,True
id_6811,id_6811,0.6493,id_7069,0.6031,id_4515,0.5875,True
id_6811,id_6811,0.6859,id_873,0.6001,id_7069,0.6000,True
id_6811,id_6811,0.6218,id_873,0.6209,id_4515,0.5554,True
id_6811,id_6811,0.6101,id_873,0.5861,id_5689,0.5802,True
id_6811,id_6811,0.6071,id_873,0.5898,id_4515,0.5728,True
id_6811,id_6811,0.6869,id_873,0.6470,id_4515,0.6050,True
id_6811,id_6811,0.6562,id_873,0.6077,id_7069,0.5868,True
id_6811,id_6811,0.6898,id_873,0.6489,id_4515,0.5469,True
id_6811,id_873,0.6266,id_6811,0.6195,id_4515,0.5698,False
id_6811,id_6811,0.6901,id_873,0.6044,id_7069,0.5779,True
id_6811,id_6811,0.6541,id_873,0.5414,id_4515,0.5100,True
id_6811,id_6811,0.6796,id_873,0.5967,id_4515,0.5376,True
id_6811,id_6811,0.6521,id_873,0.6219,id_2842,0.5552,True
id_6811,id_6811,0.6732,id_873,0.6180,id_4515,0.5978,True
id_6811,id_873,0.6572,id_6811,0.6407,id_4515,0.5310,False
id_6811,id_6811,0.7225,id_4968,0.6374,id_7069,0.6223,True
id_6811,id_873,0.5981,id_6811,0.5924,id_7069,0.5415,False
id_6811,id_6811,0.6680,id_873,0.5906,id_7069,0.5863,True
id_6811,id_7069,0.6068,id_4515,0.5749,id_873,0.5653,False
id_6811,id_6811,0.6657,id_873,0.5877,id_4515,0.5608,True
id_6811,id_6811,0.6193,id_7019,0.5645,id_7069,0.5592,True
id_6811,id_873,0.6141,id_6811,0.5793,id_4515,0.5351,False
id_6811,id_6811,0.6521,id_873,0.6285,id_7069,0.5872,True
id_6811,id_6811,0.5842,id_873,0.5651,id_4515,0.5432,True
id_6811,id_1724,0.4667,id_6811,0.4615,id_1767,0.4553,False
id_6811,id_873,0.6468,id_4515,0.6294,id_6811,0.6204,False
id_6811,id_7069,0.5968,id_4515,0.5568,id_6811,0.5505,False
id_6811,id_6811,0.6316,id_873,0.6302,id_7069,0.5937,True
id_6811,id_6811,0.6884,id_4515,0.6435,id_873,0.6120,True
id_6811,id_6811,0.6321,id_873,0.6239,id_2842,0.5308,True
id_6811,id_6811,0.6963,id_873,0.5784,id_4515,0.5645,True
id_6811,id_873,0.6355,id_6811,0.6011,id_5689,0.5407,False
id_6811,id_6811,0.8498,id_7069,0.6385,id_873,0.6292,True
id_6811,id_7069,0.6007,id_6811,0.5901,id_5689,0.5804,False
id_6811,id_6811,0.6244,id_873,0.6140,id_5689,0.5747,True
id_9267,id_8486,0.5549,id_9267,0.5145,id_5045,0.5050,False
id_9267,id_9218,0.5520,id_6556,0.5038,id_9484,0.4757,False
id_9598,id_9598,0.5079,id_7204,0.4936,id_10518,0.4799,True
id_9598,id_6648,0.5357,id_8486,0.5166,id_3623,0.5010,False
id_9598,id_9598,0.7551,id_7204,0.6343,id_5895,0.5917,True
id_9598,id_9598,0.6998,id_8486,0.5759,id_6620,0.5548,True
id_9166,id_1853,0.5402,id_5896,0.5329,id_9166,0.5212,False
id_9166,id_1853,0.5462,id_9166,0.5358,id_2478,0.5291,False
id_9166,id_1853,0.5529,id_9166,0.5509,id_3736,0.5316,False
id_9166,id_2478,0.5721,id_9166,0.5671,id_3736,0.5444,False
id_7953,id_7953,0.5079,id_5593,0.5033,id_97,0.5026,True
id_7953,id_8547,0.4966,id_9835,0.4811,id_713,0.4724,False
id_7953,id_5593,0.5092,id_2291,0.4890,id_9835,0.4796,False
id_7953,id_97,0.5200,id_753,0.4857,id_4166,0.4797,False
id_1412,id_1412,0.6194,id_4698,0.5252,id_3026,0.5240,True
id_1412,id_1412,0.6529,id_3736,0.5606,id_4698,0.5430,True
id_1412,id_1412,0.5386,id_10500,0.5272,id_8486,0.4990,True
id_1412,id_1412,0.6155,id_1795,0.4861,id_3736,0.4789,True
id_1412,id_1412,0.6361,id_3736,0.5206,id_3026,0.5075,True
id_1412,id_4698,0.4994,id_7197,0.4824,id_9716,0.4679,False
